upt_table_name,SUM(volume of telemetry(kb))
process_events,314
socket_events,285
process_file_events,109
dns_lookup_events,91
http_events,53
process_open_sockets,38
zerotrust_checks,33
process_action_events,27
ebpf_dns_lookup_events,27
user_events,25
aws_cloudtrail_events_presto_table,25
wmi_query_events,21
upt_events_data,19
windows_events,17
upt_events_data_parquet,16
diag_watcher_stats,13
image_load_events,11
registry_events,9
powershell_events,9
docker_events,5
vulnerabilities,5
crio_containers,3
process_cpu,3
process_envs,3
containerd_events,3
amsi_events,2
processes,2
process_open_files,2
upt_querypacks,1
kubernetes_crds,1
prefetch_process_modules,1
platform_info,0
routes,0
disk_info,0
aws_sqs_queue_policy_presto_table,0
userassist,0
azure_active_directory_group_setting,0
memory_devices,0
prefetch_process_exe_times,0
aws_securityhub_administrator_account_presto_table,0
azure_securitycenter_setting,0
azure_cosmosdb_account_database,0
screenlock,0
chocolatey_packages,0
chrome_extension_content_scripts,0
aws_rds_db_cluster_parameter_group_presto_table,0
aws_direct_connect_gateway_association_proposal_presto_table,0
systemd_units,0
aws_dynamodb_accelerator_default_parameter_presto_table,0
sc_artifactory_repository_config,0
rpc_events,0
container_version,0
aws_servicecatalog_product_provision_artifact_presto_table,0
process_open_pipes,0
windows_crashes,0
etc_hosts,0
kubernetes_nodes,0
safari_url_history,0
aws_wafv2_web_acl_presto_table,0
aws_ec2_transit_gw_vpc_attachment_presto_table,0
kubernetes_secrets,0
okta_trusted_origins,0
aws_iam_user_ssh_public_key_presto_table,0
carbon_black_info,0
aws_s3_bucket_lifecycle_configuration_rule_presto_table,0
oem_strings,0
vulnerability_scan_events,0
interface_ipv6,0
aws_ec2_network_insight_access_scope_analyses_presto_table,0
etc_protocols,0
aws_ec2_volume_presto_table,0
firefox_addons,0
kubernetes_stateful_set_containers,0
aws_redshift_cluster_snapshot_presto_table,0
gcp_compute_vpc_peering_route,0
aws_elb_presto_table,0
device_firmware,0
prefetch,0
battery,0
github_deployment_events,0
aws_rds_reserved_instance_presto_table,0
gcp_cloud_function_v2,0
github_team_events,0
github_dependabot_repository_secrets,0
azure_active_directory_role_assignment,0
aws_securityhub_finding_events_presto_table,0
gcp_bigquery_table,0
browser_plugins,0
crio_pod_sandboxes,0
azure_dns_zone,0
gcp_dns_managed_zone,0
azure_instance_metadata,0
azure_network_express_route_circuit,0
smc_keys,0
azure_container_registry,0
upt_virus_total_events,0
azure_api_management_service,0
kubernetes_security_events,0
aws_bedrock_data_source_presto_table,0
aws_glacier_access_policy_presto_table,0
azure_storage_diagnostic_setting,0
compliance_events,0
network_top,0
upt_presto_slow_queries,0
aws_oss_security_policy_presto_table,0
github_member_events,0
okta_authorization_servers,0
agentless_resource_logs,0
azure_sql_failover_group,0
hardware_events,0
gcp_resourcemanager_project,0
git_repos,0
azure_active_directory_user,0
aws_oss_access_policy_presto_table,0
wifi_status,0
md_personalities,0
osquery_packs,0
efivars,0
osquery_info,0
application_certificates,0
docker_volume_labels,0
wifi_survey,0
interface_addresses,0
hvci_status,0
aws_organizations_policy_presto_table,0
background_activities_moderator,0
aws_rds_db_cluster_presto_table,0
gcp_apigateway_api_config,0
docker_container_mounts,0
crio_container_stats,0
kubernetes_pod_disruption_budgets,0
deb_packages,0
aws_workspaces_connection_status_presto_table,0
authorization_mechanisms,0
aws_ec2_subnet_presto_table,0
azure_postgresql_server,0
aws_s3_bucket_policy_presto_table,0
aws_s3_bucket_analytics_configuration_presto_table,0
keychain_acls,0
containers,0
aws_directoryservice_directory_presto_table,0
aws_elb_listener_presto_table,0
github_actions_repository_secrets,0
kubernetes_csi_node_drivers,0
azure_network_waf_policy,0
