upt_db_name,upt_table_name,upt_day,SUM(total_telemetry)
upt_trucks,upt_querypacks,2025-01-23 00:00:00.000,1.0
upt_trucks,memory_info,2025-01-23 00:00:00.000,2.0
upt_flerovium,upt_aws_cloud_app_scan,2025-01-28 00:00:00.000,2.0
upt_trucks,processes_hash,2025-01-23 00:00:00.000,5.0
,upt_osquery_diagnostic_logs,2025-01-21 00:00:00.000,10.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-29 00:00:00.000,10.0
upt_trucks,osquery_events,2025-01-23 00:00:00.000,10.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-31 00:00:00.000,10.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-30 00:00:00.000,10.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-22 00:00:00.000,10.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-28 00:00:00.000,10.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-24 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-25 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-23 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-26 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-02-02 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-02-01 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-20 00:00:00.000,11.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-27 00:00:00.000,12.0
upt_trucks,load_average,2025-01-23 00:00:00.000,12.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-01-21 00:00:00.000,12.0
upt_trucks,process_open_files,2025-01-23 00:00:00.000,12.0
upt_april,upt_cloud_compliance_audit_presto_table,2025-02-03 00:00:00.000,12.0
upt_trucks,cpu_time,2025-01-23 00:00:00.000,16.0
,socket_events,2025-01-20 00:00:00.000,16.0
upt_trucks,dns_lookup_events,2025-01-23 00:00:00.000,24.0
,upt_osquery_diagnostic_logs,2025-01-20 00:00:00.000,27.0
,process_events,2025-01-22 00:00:00.000,34.0
upt_construction,azure_securitycenter_setting,2025-01-26 00:00:00.000,40.0
upt_construction,azure_securitycenter_setting,2025-01-30 00:00:00.000,40.0
upt_construction,azure_securitycenter_setting,2025-01-29 00:00:00.000,40.0
upt_construction,azure_securitycenter_setting,2025-01-25 00:00:00.000,45.0
,user_events,2025-01-20 00:00:00.000,49.0
,process_events,2025-01-20 00:00:00.000,74.0
,dns_lookup_events,2025-01-20 00:00:00.000,86.0
,upt_osquery_diagnostic_logs,2025-01-22 00:00:00.000,90.0
upt_endor,socket_events,2025-01-26 00:00:00.000,98.0
upt_endor,network_events,2025-01-26 00:00:00.000,107.0
upt_construction,azure_securitycenter_subscription_pricing,2025-01-30 00:00:00.000,120.0
upt_construction,azure_securitycenter_subscription_pricing,2025-01-29 00:00:00.000,120.0
upt_construction,azure_securitycenter_subscription_pricing,2025-01-26 00:00:00.000,120.0
upt_endor,userassist,2025-01-26 00:00:00.000,126.0
upt_construction,azure_securitycenter_subscription_pricing,2025-01-25 00:00:00.000,135.0
upt_system,query_job_audit_logs,2025-02-02 00:00:00.000,173.0
,http_events,2025-01-22 00:00:00.000,174.0
,upt_presto_slow_queries,2025-01-22 00:00:00.000,178.0
upt_endor,rpc_events,2025-01-26 00:00:00.000,190.0
,socket_events,2025-01-27 00:00:00.000,199.0
upt_flerovium,aws_ec2_security_group_rule_presto_table,2025-01-27 00:00:00.000,204.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-27 00:00:00.000,206.0
upt_endor,process_events,2025-01-26 00:00:00.000,221.0
upt_flerovium,aws_securityhub_standard_presto_table,2025-01-26 00:00:00.000,272.0
upt_flerovium,aws_securityhub_standard_presto_table,2025-01-20 00:00:00.000,272.0
upt_flerovium,aws_securityhub_standard_presto_table,2025-01-21 00:00:00.000,272.0
upt_flerovium,aws_securityhub_standard_presto_table,2025-01-24 00:00:00.000,272.0
upt_flerovium,aws_securityhub_standard_presto_table,2025-01-23 00:00:00.000,272.0
upt_flerovium,aws_securityhub_standard_presto_table,2025-01-22 00:00:00.000,272.0
,dns_lookup_events,2025-01-21 00:00:00.000,273.0
upt_endor,osquery_memory,2025-01-23 00:00:00.000,300.0
upt_flerovium,aws_ec2_security_group_rule_presto_table,2025-01-25 00:00:00.000,306.0
,upt_presto_slow_queries,2025-01-20 00:00:00.000,320.0
upt_flerovium,aws_iam_cross_account_assume_role_events,2025-01-27 00:00:00.000,344.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-23 00:00:00.000,354.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-22 00:00:00.000,354.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-20 00:00:00.000,354.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-25 00:00:00.000,354.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-26 00:00:00.000,354.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-24 00:00:00.000,354.0
upt_flerovium,aws_ec2_managed_prefix_list_presto_table,2025-01-21 00:00:00.000,354.0
,upt_presto_slow_queries,2025-01-21 00:00:00.000,359.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-20 00:00:00.000,412.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-22 00:00:00.000,412.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-24 00:00:00.000,412.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-26 00:00:00.000,412.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-21 00:00:00.000,412.0
upt_flerovium,aws_kms_key_alias_presto_table,2025-01-23 00:00:00.000,412.0
upt_endor,socket_events,2025-01-23 00:00:00.000,414.0
upt_endor,http_events,2025-01-23 00:00:00.000,415.0
upt_endor,dns_lookup_events,2025-01-23 00:00:00.000,436.0
upt_endor,process_cpu,2025-01-29 00:00:00.000,439.0
upt_endor,osquery_flags,2025-01-20 00:00:00.000,456.0
,syscall_events,2025-01-22 00:00:00.000,458.0
upt_endor,process_file_events,2025-01-26 00:00:00.000,459.0
upt_endor,startup_items,2025-01-29 00:00:00.000,467.0
upt_endor,process_open_sockets,2025-01-29 00:00:00.000,475.0
upt_endor,process_open_files,2025-01-26 00:00:00.000,481.0
,deb_packages,2025-01-23 00:00:00.000,485.0
upt_system,query_job_audit_logs,2025-02-01 00:00:00.000,493.0
upt_endor,osquery_flags,2025-01-29 00:00:00.000,503.0
upt_system,query_job_audit_logs,2025-01-26 00:00:00.000,509.0
upt_endor,dns_lookup_events,2025-01-31 00:00:00.000,521.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-27 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-22 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-31 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-21 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-26 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-28 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-29 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-02-02 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-02-01 00:00:00.000,538.0
upt_orchesis,aws_ec2_subnet_presto_table,2025-01-30 00:00:00.000,538.0
